iter	Passed	Remaining
0	2	267
1	4	233
2	6	195
3	6	167
4	8	154
5	9	150
6	11	149
7	12	145
8	13	139
9	15	136
10	16	130
11	16	124
12	17	119
13	18	116
14	19	112
15	20	108
16	21	105
17	22	102
18	23	98
19	23	95
20	24	93
21	25	91
22	26	88
23	27	86
24	28	84
25	28	81
26	29	79
27	30	78
28	31	76
29	32	74
30	32	73
31	33	71
32	34	70
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	64	32
67	65	30
68	66	29
69	67	28
70	68	27
71	68	26
72	69	25
73	70	24
74	71	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	85	7
92	85	6
93	86	5
94	88	4
95	89	3
96	90	2
97	92	1
98	93	0
99	96	0
